PI,YEAR,Trial,TRIAL_SHORT,Location,LOC_SHORT,Trt,Reps,Plots,SAMPLING
Lollato,22,Chloride (2) x variety (24),Clx24,Ashland Bottoms,AB,48,3,144,"F10.5, HI, CB"
Lollato,22,Chloride (2) x variety (24),Clx24,Hays,HAYS,48,2,96,"F10.5, HI, CB"
Lollato,22,Chloride (2) x variety (24),Clx24,Hutchinson Optimum,HUT.O,48,4,192,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Ashland Bottoms,AB,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Belleville Soybeans,BE.S,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Great Bend,GB,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hays,HAYS,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson 23,HUT23,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Early,HUT.E,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Late,HUT.L,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Hutchinson Optimum,HUT.O,4,3,12,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Leoti,LEO,4,4,16,"HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Manhattan,MNH,4,5,20,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Solomon Cover Crop,SO.CC,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Solomon Soybeans,SO.S,4,4,16,"F10.5, HI, CB"
Lollato,22,Cl x 2 varieties,Clx2,Solomon Winter Wheat,SO.WW,4,4,16,"F10.5, HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Ashland Bottoms,AB,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Belleville Optimum,BE.O,20,3,60,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Belleville Soybeans,BE.S,20,3,60,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Great Bend,GB,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Hays,HAYS,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Hutchinson Early,HUT.E,20,3,60,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Hutchinson Late,HUT.L,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Hutchinson Optimum,HUT.O,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Leoti,LEO,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Manhattan,MNH,20,4,80,"HI, CB"
Lollato,22,Nitrogen x fungicide,NxF,Solomon Soybeans,SO.S,20,4,80,"HI, CB"
Lollato,22,RAIN Ag rotation - forage,RAIN,Ashland Bottoms,AB,17,4,68,"F6, F105, SD, HI, CB"
Lollato,22,KWC IWM,IWM,Ashland Bottoms,AB,8,6,48,"HI, CB"
Lollato,22,KWC IWM,IWM,Belleville Optimum,BE.O,8,5,40,"HI, CB"
Lollato,22,KWC IWM,IWM,Belleville Soybeans,BE.S,8,4,32,"HI, CB"
Lollato,22,KWC IWM,IWM,Colby,CO,8,,0,"HI, CB"
Lollato,22,KWC IWM,IWM,Decatur,DC,8,,0,"HI, CB"
Lollato,22,KWC IWM,IWM,Decatur,DC,8,,0,"HI, CB"
Lollato,22,KWC IWM,IWM,Great Bend,GB,8,4,32,"HI, CB"
Lollato,22,KWC IWM,IWM,Hays,HAYS,8,8,64,"HI, CB"
Lollato,22,KWC IWM,IWM,Hutchinson Late,HUT.L,8,4,32,"HI, CB"
Lollato,22,KWC IWM,IWM,Leoti,LEO,8,6,48,"HI, CB"
Lollato,22,KWC IWM,IWM,Manhattan Late,MNH.L,8,5,40,"HI, CB"
Lollato,22,KWC IWM,IWM,Manhattan,MNH,8,7,56,"HI, CB"
Lollato,22,KWC IWM,IWM,Mitchel,MC,8,5,40,"HI, CB"
Lollato,22,KWC IWM,IWM,Solomon Soybeans,SO.S,8,4,32,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Great Bend,GB,50,3,150,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Hays,HAYS,50,4,200,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Hutchinson Optimum,HUT.O,50,4,200,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Hutchinson Late,HUT.L,50,3,150,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Leoti,LEO,50,3,150,"HI, CB"
Lollato,22,Tillering Plasticity,TP,Belleville Soybeans,BE.S,50,3,150,"HI, CB"